City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Sinnamary,GF,2020-01-14 04:48:02,5.38,-52.95,79.29,83,54,16.98
182,Los Llanos De Aridane,ES,2020-01-14 04:46:13,28.66,-17.92,64.4,60,0,10.29
183,Sibolga,ID,2020-01-14 04:48:03,1.74,98.78,85.59,70,69,2.42
184,Sao Filipe,CV,2020-01-14 04:45:32,14.9,-24.5,69.44,71,72,15.52
185,Tandil,AR,2020-01-14 04:48:03,-37.32,-59.13,63.0,90,99,1.99
186,Smidovich,RU,2020-01-14 04:48:03,48.6,133.82,-3.71,96,10,5.86
187,Noyabrsk,RU,2020-01-14 04:48:03,63.2,75.45,19.65,94,100,17.49
188,Broome,US,2020-01-14 04:38:14,42.25,-75.83,37.0,80,90,5.82
189,Lasa,IT,2020-01-14 04:38:32,46.62,10.7,27.0,79,5,3.36
190,Murgab,TM,2020-01-14 04:46:31,37.5,61.97,28.4,86,40,6.93
191,Bouza,NE,2020-01-14 04:48:04,14.42,6.04,63.37,13,52,11.43
192,Kandla,IN,2020-01-14 04:48:04,23.03,70.22,67.51,37,0,3.04
193,College,US,2020-01-14 04:48:05,64.86,-147.8,1.0,77,90,1.79
194,Celestun,MX,2020-01-14 04:38:30,20.87,-90.4,76.66,84,5,12.82
195,Simao,CN,2020-01-14 04:48:05,22.79,100.97,69.04,37,0,8.05
196,Valleyview,CA,2020-01-14 04:48:05,55.07,-117.29,-21.66,97,100,4.14
197,Cockburn Town,TC,2020-01-14 04:44:39,21.46,-71.14,77.31,70,0,23.0
198,Srandakan,ID,2020-01-14 04:48:06,-7.94,110.25,86.32,64,57,8.88
199,Okha,RU,2020-01-14 04:48:06,53.57,142.95,-6.09,87,0,14.23
200,Luang Prabang,LA,2020-01-14 04:46:49,19.89,102.13,75.2,69,34,2.24
201,Touros,BR,2020-01-14 04:48:06,-5.2,-35.46,77.0,88,20,4.7
202,High Level,CA,2020-01-14 04:46:27,58.52,-117.14,-18.4,68,75,11.41
203,Khuzhir,RU,2020-01-14 04:48:07,53.19,107.34,15.28,80,98,5.03
